,horizon,mse,rmse,mae,mape,mdape,smape,coverage
1538,73 days 02:00:00,23409968.956059974,4838.384953273145,1300.96160869673,0.40897951868168336,0.1347603186968276,0.25013445696383924,0.647018868155549
1539,73 days 03:00:00,23443792.280635595,4841.879003097412,1301.5338867327625,0.4094381340499898,0.13473988594445446,0.25010971159948586,0.6468379616025076
1540,73 days 04:00:00,23477305.847407468,4845.338568914196,1302.1054197466112,0.40989238771650954,0.13466290998067504,0.2500897312360822,0.6466194044470566
1541,73 days 05:00:00,23510581.947094437,4848.771179081813,1302.6568596625066,0.4103442342450336,0.13468052493563148,0.2500716338740483,0.6462952419433834
1542,73 days 06:00:00,23543504.652624585,4852.164944911146,1303.2096202106345,0.41077462775471846,0.13468052493563148,0.2500606046628813,0.6461339259476933
1543,73 days 07:00:00,23575913.207385097,4855.503393818719,1303.775402407694,0.41117586695449965,0.13471261965070166,0.25006028859205465,0.6460708688412186
1544,73 days 08:00:00,23607800.806700684,4858.785939584155,1304.4123892121368,0.41156230299576946,0.1347603186968276,0.2500869119744125,0.6459882211773925
1545,73 days 09:00:00,23639922.021784026,4862.090293462682,1305.012816833192,0.4119386604547242,0.13483222635220576,0.25010188603734035,0.6459539377020277
1546,73 days 10:00:00,23673099.942349087,4865.500996027961,1305.560128706967,0.41232106144241454,0.13486576354672025,0.2500906420257466,0.6457485429522971
1547,73 days 11:00:00,23707205.826736454,4869.004603277394,1306.1772759216967,0.4127294606236269,0.1349568733288949,0.250076511842431,0.6458042535997649
1548,73 days 12:00:00,23742184.96405567,4872.595300664285,1306.713701508957,0.4131202326424135,0.1349617769833668,0.25002542383423043,0.6457460941326282
1549,73 days 13:00:00,23777844.718803406,4876.253143429226,1307.1170158593213,0.41347980607708185,0.13498671059083434,0.24994121013143983,0.6457402781859144
1550,73 days 14:00:00,23814017.900662478,4879.960850320675,1307.411591393278,0.4138141417168492,0.13491291469398375,0.24983634006928687,0.6459276128905868
1551,73 days 15:00:00,23850618.78358046,4883.709531040975,1307.6813131026806,0.41412665739598203,0.13485286857570178,0.24972639309876765,0.646255754726222
1552,73 days 16:00:00,23887586.957000718,4887.492911196979,1307.982586351121,0.4144289077178696,0.13485286857570178,0.2496222566799664,0.6463785018121265
1553,73 days 17:00:00,23924493.371720012,4891.267051768898,1308.2857631214226,0.41471470702442315,0.1348373129001233,0.24951730732990102,0.6464841071603487
